tconst,nconst,director_id
tt0181875,nm0001081,229
tt0181945,nm0359386,5366
tt0181984,nm0950226,12980
tt0182000,nm0501435,7316
tt0182027,nm0696612,9748
tt0182295,nm0000110,8
tt0182508,nm0790398,10927
tt0183056,nm0221611,3617
tt0183113,nm0003186,495
tt0183142,nm0199660,3356
tt0183280,nm0003289,501
tt0183423,nm0325998,4918
tt0183488,nm0663208,9367
tt0183505,nm0125803,2354
tt0183505,nm0268380,4179
tt0183523,nm0000361,69
tt0183550,nm0483953,7071
tt0183639,nm0593185,8461
tt0183649,nm0001708,333
tt0183659,nm0000438,99
tt0183790,nm0001338,272
tt0183808,nm0779641,10788
tt0183869,nm0470443,6893
tt0184009,nm0831478,11440
tt0184457,nm0284943,4412
tt0184719,nm0785723,10867
tt0184791,nm0625789,8897
tt0184858,nm0001239,258
tt0184894,nm0223359,3643
tt0184907,nm0462277,6771
tt0185007,nm0431049,6309
tt0185014,nm0000436,97
tt0185183,nm0002337,416
tt0185431,nm0109359,2140
tt0185542,nm0471461,6909
tt0186029,nm0061920,1534
tt0186029,nm0330506,4987
tt0186045,nm0327064,4939
tt0186151,nm0387706,5715
tt0186183,nm0909026,12452
tt0186202,nm0002699,449
tt0186221,nm0517905,7543
tt0186454,nm0131064,2430
tt0186549,nm0947388,12931
tt0186566,nm0000142,20
tt0186589,nm0568230,8167
tt0186719,nm0420619,6172
tt0186785,nm0027474,1092
tt0186894,nm0740400,10245
tt0186975,nm0410640,6045
tt0187078,nm0784061,10846
tt0187387,nm0613011,8702
tt0187393,nm0000386,77
tt0187512,nm0563039,8087
tt0187559,nm0003953,567
tt0187696,nm0752328,10393
tt0187738,nm0868219,11911
tt0187750,nm0147985,2635
tt0187761,nm0506812,7402
tt0187847,nm0013869,909
tt0188045,nm0580669,8299
tt0188055,nm0364578,5431
tt0188128,nm0837406,11507
tt0188160,nm0959665,13149
tt0188453,nm0125336,2348
tt0188490,nm0175877,3059
tt0188518,nm0587669,8375
tt0188575,nm0343980,5156
tt0188688,nm0781230,10808
tt0189192,nm0688585,9646
tt0189456,nm0719320,10022
tt0189541,nm0589488,8408
tt0189998,nm0580729,8304
tt0190052,nm0003917,559
tt0190138,nm0528718,7676
tt0190332,nm0000487,109
tt0190374,nm0813309,11220
tt0190398,nm0704497,9853
tt0190449,nm0927179,12680
tt0190524,nm0765225,10569
tt0190590,nm0001054,224
tt0190590,nm0001053,223
tt0190736,nm0658585,9301
tt0190861,nm0423646,6213
tt0190865,nm0132709,2454
tt0190938,nm0059686,1511
tt0190994,nm0103523,2069
tt0191037,nm0908148,12439
tt0191074,nm0165062,2926
tt0191133,nm0528718,7676
tt0191177,nm0929446,12699
tt0191211,nm0957632,13126
tt0191242,nm0540468,7818
tt0191397,nm0222043,3622
tt0191636,nm0496312,7226
tt0191754,nm0858525,11777
tt0191787,nm0731739,10159
tt0191996,nm0935528,12766
tt0192023,nm0698251,9765
tt0192071,nm0641373,9097
tt0192110,nm0077023,1710
tt0192111,nm0914132,12523
tt0192126,nm0347465,5201
tt0192237,nm0005917,729
tt0192255,nm0248942,3947
tt0192295,nm0005917,729
tt0192346,nm0892544,12235
tt0192455,nm0000778,169
tt0192528,nm0667001,9410
tt0192614,nm0003418,510
tt0192719,nm0685923,9612
