imdb_id,budget,revenue,certification,popularity,vote_average,vote_count
tt0203047,0.0,0.0,,0.624,5.0,1.0
tt0203053,0.0,0.0,,2.289,5.9,10.0
tt0203119,5000000.0,0.0,R,15.639,6.963,602.0
tt0203166,0.0,0.0,R,9.23,6.972,194.0
tt0203230,0.0,0.0,R,12.713,6.906,245.0
tt0203297,0.0,0.0,,1.301,3.6,7.0
tt0203540,0.0,1443067.0,R,5.446,6.4,50.0
tt0203580,0.0,0.0,,4.952,3.2,5.0
tt0203632,0.0,0.0,,7.976,6.99,102.0
tt0203830,0.0,0.0,R,1.248,4.5,4.0
tt0203835,0.0,0.0,,2.692,2.5,8.0
tt0203940,0.0,0.0,,7.008,4.55,70.0
tt0204137,3600000.0,43805.0,,8.45,6.3,177.0
tt0204175,16000000.0,20627372.0,PG-13,12.583,5.958,349.0
tt0204350,1200000.0,1404.0,R,2.462,4.2,12.0
tt0204382,0.0,0.0,,0.921,0.0,0.0
tt0204626,33000000.0,0.0,R,15.053,4.993,412.0
tt0204640,0.0,1079726.0,,4.324,6.605,38.0
tt0204698,0.0,0.0,,1.4,1.0,1.0
tt0204885,0.0,0.0,,0.982,4.0,1.0
tt0204932,0.0,0.0,,2.357,6.809,34.0
tt0204933,0.0,0.0,,0.6000000000000001,2.5,2.0
tt0204946,28000000.0,90449929.0,PG-13,16.7,6.232,1473.0
tt0205177,0.0,0.0,,11.066,4.893,117.0
tt0205271,23000000.0,22844291.0,R,11.879,4.87,277.0
tt0205418,0.0,0.0,R,4.473,3.4,14.0
tt0205461,19000000.0,19748009.0,G,13.016,5.5,58.0
tt0205526,0.0,0.0,,0.84,2.5,2.0
tt0205729,0.0,0.0,,0.6000000000000001,6.0,2.0
tt0205778,0.0,0.0,,0.84,5.5,2.0
tt0205873,0.0,0.0,PG-13,10.149,6.7,154.0
tt0205936,500000.0,0.0,,1.821,4.6,3.0
tt0206075,0.0,0.0,,2.181,2.5,6.0
tt0206088,0.0,0.0,,0.931,4.0,3.0
tt0206223,0.0,0.0,,0.961,0.0,0.0
tt0206226,1500000.0,268117.0,NR,7.824,5.862,69.0
tt0206420,8000000.0,0.0,R,12.443,6.282,204.0
tt0206545,0.0,0.0,,1.4,6.0,1.0
tt0206608,0.0,0.0,,0.728,4.8,4.0
tt0206694,0.0,0.0,,0.707,5.0,1.0
tt0206742,0.0,0.0,,3.448,6.367,30.0
tt0206917,20170000.0,1800000.0,,11.108,6.052,194.0
tt0206926,0.0,0.0,R,8.066,5.192,73.0
tt0207036,0.0,0.0,R,1.31,5.0,5.0
tt0207161,0.0,0.0,PG,5.465,6.03,33.0
tt0207163,0.0,0.0,,1.737,4.792,12.0
tt0207201,70000000.0,374111707.0,PG-13,24.967,6.417,3400.0
tt0207333,0.0,0.0,,1.77,5.531,16.0
tt0207377,0.0,0.0,,2.626,5.3,10.0
tt0207501,0.0,0.0,,0.655,0.0,0.0
tt0207524,7300000.0,0.0,R,5.925,6.122,49.0
tt0207631,0.0,0.0,,3.256,2.7,10.0
tt0207638,0.0,0.0,,0.6000000000000001,0.0,0.0
tt0207745,0.0,0.0,,1.581,4.9,4.0
tt0208003,30000000.0,173959438.0,PG-13,23.244,5.809,1990.0
tt0208017,0.0,0.0,,0.901,2.8,2.0
tt0208037,0.0,0.0,R,2.011,5.2,4.0
tt0208050,0.0,0.0,,2.704,3.2,5.0
tt0208092,10000000.0,83557872.0,R,32.183,7.797,7752.0
tt0208196,0.0,688510.0,R,9.354,6.802,101.0
tt0208204,0.0,0.0,,2.86,5.5,2.0
tt0208298,0.0,0.0,G,18.385,5.864,33.0
tt0208870,0.0,0.0,,0.871,5.0,1.0
tt0208874,20000000.0,22428990.0,R,13.339,6.684,196.0
tt0208883,0.0,0.0,,8.425,3.0,2.0
tt0208889,0.0,0.0,,1.4,8.0,5.0
tt0208911,0.0,0.0,R,4.788,5.9,26.0
tt0208942,0.0,0.0,,1.4,3.0,2.0
tt0208988,63600000.0,19412993.0,R,20.376,5.1,459.0
tt0208993,0.0,0.0,,3.113,6.886,22.0
tt0209037,0.0,0.0,R,2.824,5.769,26.0
tt0209144,9000000.0,39723096.0,R,43.212,8.19,12892.0
tt0209180,0.0,0.0,,2.633,7.9,22.0
tt0209279,0.0,0.0,,0.6000000000000001,4.333,3.0
tt0209322,0.0,0.0,R,4.559,5.98,49.0
tt0209958,33000000.0,104155843.0,R,17.863,6.253,1305.0
tt0210065,0.0,30915.0,,9.906,6.462,169.0
tt0210070,5000000.0,0.0,R,20.872,6.836,697.0
tt0210075,0.0,0.0,,9.383,6.245,143.0
tt0210149,0.0,0.0,,3.992,5.1,10.0
tt0210299,0.0,0.0,PG-13,3.154,6.0,31.0
tt0210357,0.0,0.0,PG,1.063,6.7,7.0
tt0210358,0.0,1433668.0,PG-13,13.127,5.859,71.0
tt0210382,16000000.0,109130.0,R,10.196,5.651,139.0
tt0210567,0.0,0.0,PG-13,6.829,5.7,36.0
tt0210584,0.0,0.0,PG-13,4.64,6.4,37.0
tt0210616,29000000.0,26385941.0,PG-13,12.633,6.943,290.0
tt0210756,0.0,0.0,,2.018,5.7,5.0
tt0210945,30000000.0,136706683.0,PG,29.26,7.603,2239.0
tt0210952,0.0,0.0,,1.4,4.333,3.0
tt0211181,85000000.0,183611771.0,G,18.832,5.482,1179.0
tt0211309,0.0,0.0,,1.4,5.7,11.0
tt0211387,0.0,0.0,,10.341,6.689,95.0
tt0211492,1864747.0,0.0,,5.099,6.156,32.0
tt0211661,0.0,0.0,,4.295,5.897,34.0
tt0211718,0.0,124994.0,,2.9130000000000003,7.096,26.0
tt0211919,0.0,0.0,,1.375,2.0,1.0
tt0211938,35000000.0,0.0,R,12.259,5.7,160.0
tt0211941,0.0,0.0,R,5.525,5.1,20.0
tt0212059,2500000.0,0.0,R,0.841,0.0,0.0
tt0212215,0.0,0.0,,0.921,5.1,7.0
tt0212338,55000000.0,330444045.0,PG-13,31.298,6.667,5221.0
tt0212346,45000000.0,212000000.0,PG-13,26.886,6.514,3343.0
tt0212604,0.0,0.0,R,2.026,6.1,18.0
tt0212667,0.0,0.0,,0.6930000000000001,0.8,3.0
tt0212719,0.0,0.0,,0.627,0.0,0.0
tt0212742,0.0,0.0,R,1.4,5.4,15.0
tt0212815,0.0,512451.0,,9.438,6.3,36.0
tt0212826,0.0,0.0,,8.16,6.202,89.0
tt0212830,5000000.0,0.0,R,10.204,5.478,112.0
tt0212879,500000.0,0.0,R,9.81,6.4030000000000005,108.0
