index,production_companies_id,production_companies
1035,1035,Alexander Films
1036,1036,Alexander Groupe
1037,1037,Alexander-Stern Productions
1038,1038,Alexander/Mitchell Productions
1039,1039,Alexandra Film
1040,1040,Alexandre Films
1041,1041,Alexandros Film
1042,1042,Alexis Films
1043,1043,Alfama Films
1044,1044,Alfonso Acosta
1045,1045,Alfresco Enterprises
1046,1046,Algarve Filmes
1047,1047,Algous studio
1048,1048,AliBella Pictures
1049,1049,Alia Films
1050,1050,Alianza Canada Entertainment
1051,1051,Alianza Films International
1052,1052,Alias Film
1053,1053,Alibaba Pictures Group
1054,1054,Alibi Films
1055,1055,Alibi Pictures
1056,1056,Alicia Produce
1057,1057,Alicia Produce S L
1058,1058,Alicéléo
1059,1059,Alief
1060,1060,Alief + 4th & 7th Entertainment
1061,1061,Alien Chadow Films
1062,1062,Alien Film
1063,1063,AlienGrey Zone-X 1B
1064,1064,Alienor Productions
1065,1065,Align Entertainment
1066,1066,Align Pictures
1067,1067,Alina Film
1068,1068,Alinfilmproduktion
1069,1069,Alipur Films
1070,1070,Aliud Entertainment
1071,1071,Alive Productions
1072,1072,Aliwood Mediterráneo Producciones
1073,1073,Alka-Film Zagreb
1074,1074,Alkali Digital
1075,1075,Alkay Animation Prague
1076,1076,Alkemi Films
1077,1077,All
1078,1078,All About Media
1079,1079,All At Once
1080,1080,All Cash Productions
1081,1081,All Edge Entertainment
1082,1082,All Entertainment
1083,1083,All For George Productions
1084,1084,All Go Movies
1085,1085,All In Entertainment
1086,1086,All In Pictures
1087,1087,All Inclusive Films Belgrade
1088,1088,All Media Company
1089,1089,All Stars In
1090,1090,All Yours Film
1091,1091,All in Films
1092,1092,AllButOne Productions
1093,1093,Allchemy Productions
